入场日期,出场日期,入场价,出场价,收益率,持仓天数
2020-01-30,2020-06-08,40.85,60.75,0.4871,130
2020-06-09,2020-07-06,60.58,62.5,0.0317,27
2020-07-23,2020-08-25,64.2,63.59,-0.0095,33
2020-09-10,2020-09-22,65.4,62.82,-0.0394,12
2020-11-04,2020-11-11,56.77,54.32,-0.0432,7
2020-12-01,2021-01-25,56.29,60.05,0.0668,55
2021-02-19,2021-03-16,56.87,55.57,-0.0229,25
2021-04-08,2021-04-15,55.45,54.33,-0.0202,7
2021-05-07,2021-06-09,55.98,54.88,-0.0196,33
2021-07-15,2021-07-30,53.06,51.01,-0.0386,15
2021-08-19,2021-09-21,50.58,55.31,0.0935,33
2021-10-06,2021-10-08,54.3,52.18,-0.039,2
2021-10-26,2021-12-15,55.41,64.48,0.1637,50
2022-01-20,2022-01-28,61.09,57.12,-0.065,8
2022-03-10,2022-03-24,55.96,54.84,-0.02,14
2022-04-20,2022-05-05,55.75,54.17,-0.0283,15
2022-06-06,2022-07-08,50.64,49.33,-0.0259,32
2022-08-12,2022-09-21,46.34,46.41,0.0015,40
2022-10-14,2022-10-20,47.63,44.59,-0.0638,6
2022-11-18,2022-12-20,47.38,48.27,0.0188,32
2023-01-23,2023-02-17,47.74,49.05,0.0274,25
2023-04-17,2023-05-05,42.24,41.74,-0.0118,18
2023-05-10,2023-05-18,44.86,41.66,-0.0713,8
2023-05-26,2023-06-22,45.21,44.93,-0.0062,27
2023-07-12,2023-07-25,45.02,44.77,-0.0056,13
2023-07-28,2023-08-17,46.62,46.02,-0.0129,20
2023-08-23,2023-09-04,48.22,47.17,-0.0218,12
2023-09-05,2023-09-06,48.25,47.25,-0.0207,1
2023-09-08,2023-09-12,47.2,47.54,0.0072,4
2023-09-18,2023-09-28,49.06,46.01,-0.0622,10
2023-10-23,2023-10-26,45.33,45.03,-0.0066,3
2023-10-30,2023-11-03,47.02,44.5,-0.0536,4
2023-12-01,2024-01-04,46.0,47.67,0.0363,34
